from,to,from_station,to_station,total_trips,distance,orig_pop,dest_jobs
77,238,Barbican,Alperton,0,20256.58991,10822,2961
77,172,Barbican,Amersham,7,41958.66885,10822,1384
77,196,Barbican,Angel,0,2979.209677,10822,17781
77,198,Barbican,Archway,0,7319.210012,10822,7388
77,244,Barbican,Arsenal,0,5676.906482,10822,1857
77,0,Barbican,Baker Street,304,4777.357362,10822,26836
77,25,Barbican,Bank,140,1265.540576,10822,99997
77,100,Barbican,Barons Court,4,10596.80612,10822,6498
77,80,Barbican,Bayswater,21,7298.293871,10822,2718
77,81,Barbican,Blackfriars,0,4114.451932,10822,19042
77,269,Barbican,Blackhorse Road,0,11772.4316,10822,7290
77,33,Barbican,Bond Street,25,5159.035044,10822,36182
77,247,Barbican,Boston Manor,0,18746.39396,10822,1882
77,242,Barbican,Bounds Green,29,11962.03867,10822,4659
77,251,Barbican,Caledonian Road,0,4205.393265,10822,4847
77,214,Barbican,Camden Town,32,4365.872938,10822,15708
77,84,Barbican,Cannon Street,28,3213.084236,10822,10304
77,38,Barbican,Chancery Lane,0,2938.188074,10822,23080
77,4,Barbican,Embankment,1,4048.867386,10822,21813
77,110,Barbican,Chiswick Park,0,14421.63776,10822,2590
77,219,Barbican,Clapham Common,42,8309.717345,10822,8595
77,252,Barbican,Cockfosters,0,18003.22522,10822,1533
77,254,Barbican,Covent Garden,35,4150.8621,10822,12670
77,45,Barbican,Ealing Broadway,11,16440.45415,10822,19035
77,115,Barbican,Ealing Common,0,16458.92152,10822,2949
77,116,Barbican,Earl's Court,6,9431.857072,10822,15139
77,225,Barbican,East Finchley,0,10592.54868,10822,6287
77,120,Barbican,East Putney,7,13486.64818,10822,5692
77,213,Barbican,Edgware,0,16991.41716,10822,4245
77,50,Barbican,Epping,17,27375.53323,10822,3894
77,215,Barbican,Euston,20,2995.041649,10822,35148
77,78,Barbican,Farringdon,157,513.7514262,10822,29594
77,246,Barbican,Finsbury Park,424,6301.344697,10822,25516
77,124,Barbican,Fulham Broadway,18,10740.50302,10822,8891
77,52,Barbican,Gants Hill,80,15167.92453,10822,5975
77,89,Barbican,Gloucester Road,0,8393.807687,10822,10435
77,146,Barbican,Goldhawk Road,93,11178.95587,10822,1636
77,231,Barbican,Goodge Street,0,4036.208576,10822,8455
77,41,Barbican,Grange Hill,0,20289.32106,10822,807
77,76,Barbican,Great Portland Street,238,3851.530951,10822,9847
77,54,Barbican,Greenford,0,19674.55193,10822,4348
77,155,Barbican,Green Park,53,5531.295843,10822,45367
77,101,Barbican,Hammersmith,164,11447.70888,10822,31801
77,184,Barbican,Harrow-on-the-Hill,125,19532.16449,10822,8748
77,210,Barbican,Hendon Central,18,12111.71837,10822,6618
77,273,Barbican,Highbury & Islington,84,4428.405165,10822,34594
77,90,Barbican,High Street Kensington,45,8968.719017,10822,11547
77,39,Barbican,Holborn,7,3567.97156,10822,35986
77,262,Barbican,Hounslow Central,41,22889.19513,10822,3594
77,263,Barbican,Hounslow East,0,22152.9887,10822,3227
77,260,Barbican,Hounslow West,0,24229.87832,10822,2538
77,256,Barbican,Hyde Park Corner,5,6350.172373,10822,4617
77,189,Barbican,Ickenham,29,27377.68841,10822,1226
77,227,Barbican,Kennington,0,4499.312746,10822,4274
77,88,Barbican,King's Cross St. Pancras,815,2249.608336,10822,81369
77,264,Barbican,Knightsbridge,26,6921.489683,10822,12422
77,218,Barbican,Leicester Square,64,4469.109154,10822,25314
77,64,Barbican,Leyton,27,9201.434968,10822,10315
77,26,Barbican,Liverpool Street,926,1122.139537,10822,73701
77,154,Barbican,London Bridge,96,2179.58224,10822,65422
77,82,Barbican,Mansion House,0,3482.318818,10822,9437
77,34,Barbican,Marble Arch,0,5801.172692,10822,12008
77,79,Barbican,Moorgate,272,675.8724451,10822,44294
77,217,Barbican,Mornington Crescent,0,3747.377211,10822,5023
77,48,Barbican,North Acton,0,13361.08379,10822,7385
77,255,Barbican,North Ealing,0,17282.96277,10822,779
77,248,Barbican,Northfields,17,17879.92379,10822,3372
77,192,Barbican,Northwood,5,26696.23991,10822,2907
77,249,Barbican,Osterley,17,21216.31921,10822,2069
77,24,Barbican,Oxford Circus,56,4603.454301,10822,80019
77,7,Barbican,Paddington,714,6362.461268,10822,47079
77,239,Barbican,Park Royal,0,18387.08434,10822,2078
77,125,Barbican,Parsons Green,38,11448.71014,10822,6894
77,5,Barbican,Picadilly Circus,54,4917.660649,10822,31758
77,128,Barbican,Ravenscourt Park,0,12200.73127,10822,3249
77,181,Barbican,Rayners Lane,4,22028.95104,10822,4055
77,2,Barbican,Regent's Park,0,5511.530998,10822,3965
77,130,Barbican,Richmond,0,18647.14675,10822,11766
77,176,Barbican,Rickmansworth,14,31916.66518,10822,2618
77,151,Barbican,Royal Oak,30,7318.124296,10822,2456
77,191,Barbican,Ruislip,25,25583.00025,10822,1699
77,261,Barbican,Russell Square,13,3118.421853,10822,8739
77,94,Barbican,St. James's Park,0,4764.025033,10822,18060
77,27,Barbican,St. Paul's,0,1886.566076,10822,20314
77,61,Barbican,Shepherd's Bush (C),0,9597.439464,10822,17315
77,92,Barbican,Sloane Square,0,6543.960994,10822,16035
77,237,Barbican,South Ealing,0,17362.27271,10822,2991
77,267,Barbican,South Harrow,0,23820.00375,10822,2148
77,91,Barbican,South Kensington,65,7760.255199,10822,27454
77,133,Barbican,Stamford Brook,0,12900.89883,10822,2517
77,131,Barbican,Stepney Green,57,3784.727854,10822,6365
77,221,Barbican,Stockwell,6,6672.941277,10822,7837
77,3,Barbican,Charing Cross,0,4228.370804,10822,17958
77,268,Barbican,Sudbury Hill,0,23434.88122,10822,1728
77,166,Barbican,Swiss Cottage,0,7508.599838,10822,6877
77,83,Barbican,Temple,0,4751.404623,10822,10970
77,44,Barbican,Theydon Bois,0,24820.35343,10822,817
77,224,Barbican,Tooting Broadway,18,12678.66061,10822,13504
77,58,Barbican,Tottenham Court Road,0,4338.071475,10822,37082
77,270,Barbican,Tottenham Hale,0,10534.38819,10822,10787
77,74,Barbican,Tower Hill,86,2240.511953,10822,19875
77,112,Barbican,Turnham Green,0,13510.16532,10822,5251
77,190,Barbican,Uxbridge,55,30587.34277,10822,7914
77,93,Barbican,Victoria,172,5606.061607,10822,70671
77,271,Barbican,Walthamstow Central,66,13365.26189,10822,20687
77,228,Barbican,Warren Street,0,3503.008156,10822,23875
77,21,Barbican,Warwick Avenue,40,7420.99346,10822,3402
77,10,Barbican,Waterloo,110,3350.815926,10822,87309
77,150,Barbican,Westbourne Park,25,8254.227997,10822,3339
77,118,Barbican,West Brompton,0,9983.664887,10822,4854
77,102,Barbican,West Kensington,0,10086.99571,10822,4151
77,86,Barbican,Westminster,35,4174.062193,10822,24164
77,96,Barbican,Whitechapel,216,2754.358685,10822,22124
77,164,Barbican,Willesden Green,24,10834.8299,10822,6527
77,136,Barbican,Wimbledon,0,17847.56002,10822,12057
77,134,Barbican,Wimbledon Park,23,16327.49943,10822,1778
77,250,Barbican,Wood Green,22,10490.95792,10822,9584
77,275,Barbican,Pimlico,0,6727.489468,10822,10049
77,272,Barbican,Brixton,44,7893.455925,10822,24288
77,257,Barbican,Hatton Cross,0,26914.00821,10822,2545
77,258,Barbican,Heathrow Terminals 123,14,29035.05035,10822,5169
77,259,Barbican,Heathrow Terminal 4,0,28816.23275,10822,1637
77,171,Barbican,Southwark,0,3491.742348,10822,19579
77,153,Barbican,Bermondsey,0,3952.769336,10822,9228
77,137,Barbican,Canada Water,47,4890.850293,10822,29777
77,157,Barbican,North Greenwich,0,8167.325981,10822,23861
77,156,Barbican,Canary Wharf,12,6370.864021,10822,68117
77,158,Barbican,Canning Town,1,8333.142916,10822,27715
77,73,Barbican,Aldgate,210,1734.060328,10822,12048
77,95,Barbican,Aldgate East,128,1846.480908,10822,14650
77,201,Barbican,Balham,0,10635.19795,10822,12061
77,97,Barbican,Barking,115,13076.47071,10822,19367
77,103,Barbican,Becontree,49,16284.52619,10822,3113
77,204,Barbican,Belsize Park,30,6320.937811,10822,4595
77,31,Barbican,Bethnal Green,2,3281.841475,10822,11472
77,207,Barbican,Borough,10,2893.009289,10822,5743
